frame.number,frame.time_epoch,frame.len,_ws.col.protocol,ipv6.src,ipv6.dst,wpan.fcf,wpan.seq_no,wpan.dst_pan,wpan.src64,wpan.dst64,6lowpan.src,6lowpan.dst,6lowpan.iphc.tf,6lowpan.iphc.nh,6lowpan.iphc.hlim,6lowpan.iphc.sam,6lowpan.iphc.dam
"62","1774872369.608957000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","78","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"63","1774872370.610604000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","79","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"64","1774872371.612480000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","80","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"65","1774872372.612768000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","81","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"66","1774872373.614563000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","82","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"67","1774872374.616369000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","83","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"68","1774872375.617380000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","84","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"69","1774872376.619347000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","85","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"70","1774872377.619268000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","86","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"71","1774872378.620798000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","87","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"72","1774872379.623870000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","88","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"73","1774872380.625147000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","89","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"74","1774872381.625706000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","90","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"75","1774872382.626236000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","91","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"76","1774872383.625659000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","92","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"77","1774872384.628308000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","93","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"78","1774872385.628259000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","94","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"79","1774872386.628053000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","95","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"80","1774872387.631350000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","96","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"81","1774872388.630847000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","97","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"82","1774872389.633201000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","98","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"83","1774872390.634158000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","99","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"84","1774872391.633147000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","100","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"85","1774872392.634036000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","101","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"86","1774872393.635862000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","102","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"87","1774872394.635988000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","103","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
